,WATER HEATER_UNIT1_BACKROW_TOPFLOOR,WaterHeater:HeatPump:WrappedCondenser,6.95,4142.37,1.00,0.00,0.00
,WATER HEATER_UNIT2_BACKROW_TOPFLOOR,WaterHeater:HeatPump:WrappedCondenser,6.95,4142.37,1.00,0.00,0.00
,WATER HEATER_UNIT3_BACKROW_TOPFLOOR,WaterHeater:HeatPump:WrappedCondenser,6.95,4142.37,1.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,HVAC Sizing Summary
FOR:,Entire Facility
Zone Sensible Cooling

,,Calculated Design Load [Btu/h],User Design Load [Btu/h],User Design Load per Area [Btu/h-ft2],Calculated Design Air Flow [ft3/min],User Design Air Flow [ft3/min],Design Day Name,Date/Time Of Peak {TIMESTAMP},Thermostat Setpoint Temperature at Peak Load [F],Indoor Temperature at Peak Load [F],Indoor Humidity Ratio at Peak Load [lbWater/lbDryAir],Outdoor Temperature at Peak Load [F],Outdoor Humidity Ratio at Peak Load [lbWater/lbDryAir],Minimum Outdoor Air Flow Rate [ft3/min],Heat Gain Rate from DOAS [Btu/h]
,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,7616.82,7616.82,6.34,404.172,404.172,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 17:30:00,75.00,75.00,0.00824,87.96,0.00547,44.995,0.00
,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,2968.13,2968.13,2.47,157.500,157.500,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 19:00:00,75.00,75.00,0.00866,82.63,0.00547,44.995,0.00
,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,5539.22,5539.22,4.61,293.927,293.927,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 10:10:00,75.00,75.00,0.00819,83.56,0.00547,44.995,0.00
,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,7393.33,7393.33,6.16,392.314,392.314,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 17:40:00,75.00,75.00,0.00827,87.51,0.00547,44.995,0.00
,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,3001.69,3001.69,2.50,159.280,159.280,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 19:00:00,75.00,75.00,0.00867,82.63,0.00547,44.995,0.00
,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,5368.94,5368.94,4.47,284.893,284.893,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 09:30:00,75.00,75.00,0.00823,80.63,0.00546,44.995,0.00
,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,9174.00,9174.00,7.64,486.806,486.806,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 17:40:00,75.00,75.00,0.00829,87.51,0.00547,44.995,0.00
,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,4000.35,4000.35,3.33,212.275,212.275,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 19:00:00,75.00,75.00,0.00867,82.63,0.00547,44.995,0.00
,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,6855.95,6855.95,5.71,363.798,363.798,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 10:30:00,75.00,75.00,0.00822,84.89,0.00547,44.995,0.00
,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,8901.42,8901.42,7.41,472.342,472.342,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 18:00:00,75.00,75.00,0.00832,86.63,0.00547,44.995,0.00
,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,3951.20,3951.20,3.29,209.667,209.667,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 19:00:00,75.00,75.00,0.00869,82.63,0.00547,44.995,0.00
,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,6577.64,6577.64,5.48,349.031,349.031,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 09:50:00,75.00,75.00,0.00824,82.14,0.00547,44.995,0.00
,LIVING_UNIT3_BACKROW_TOPFLOOR,6678.38,6678.38,5.56,354.375,354.375,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 09:50:00,75.00,75.00,0.00818,82.14,0.00547,44.995,0.00
,LIVING_UNIT3_FRONTROW_TOPFLOOR,6945.26,6945.26,5.79,368.535,368.535,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 10:30:00,75.00,75.00,0.00816,84.89,0.00547,44.995,0.00
,LIVING_UNIT1_FRONTROW_TOPFLOOR,9673.92,9673.92,8.06,513.330,513.330,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 17:40:00,75.00,75.00,0.00824,87.51,0.00547,44.995,0.00
,LIVING_UNIT2_BACKROW_TOPFLOOR,4720.15,4720.15,3.93,250.469,250.469,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 19:00:00,75.00,75.00,0.00850,82.63,0.00547,44.995,0.00
,LIVING_UNIT2_FRONTROW_TOPFLOOR,4589.77,4589.77,3.82,243.550,243.550,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 19:00:00,75.00,75.00,0.00851,82.63,0.00547,44.995,0.00
,LIVING_UNIT1_BACKROW_TOPFLOOR,9637.83,9637.83,8.03,511.416,511.416,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 18:00:00,75.00,75.00,0.00826,86.63,0.00547,44.995,0.00
The Design Load is the zone sensible load only. It does not include any system effects or ventilation loads.


Zone Sensible Heating

,,Calculated Design Load [Btu/h],User Design Load [Btu/h],User Design Load per Area [Btu/h-ft2],Calculated Design Air Flow [ft3/min],User Design Air Flow [ft3/min],Design Day Name,Date/Time Of Peak {TIMESTAMP},Thermostat Setpoint Temperature at Peak Load [F],Indoor Temperature at Peak Load [F],Indoor Humidity Ratio at Peak Load [lbWater/lbDryAir],Outdoor Temperature at Peak Load [F],Outdoor Humidity Ratio at Peak Load [lbWater/lbDryAir],Minimum Outdoor Air Flow Rate [ft3/min],Heat Gain Rate from DOAS [Btu/h]
,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,6021.32,6021.32,5.02,136.763,136.763,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,72.00,72.00,0.00706,-0.2,0.00096,44.995,0.00
,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,4046.53,4046.53,3.37,91.910,91.910,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,72.00,72.00,0.00689,-0.2,0.00096,44.995,0.00
,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,6023.74,6023.74,5.02,136.818,136.818,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,72.00,72.00,0.00706,-0.2,0.00096,44.995,0.00
,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,6023.53,6023.53,5.02,136.813,136.813,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,72.00,72.00,0.00706,-0.2,0.00096,44.995,0.00
,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,4046.27,4046.27,3.37,91.905,91.905,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,72.00,72.00,0.00689,-0.2,0.00096,44.995,0.00
,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,6021.08,6021.08,5.02,136.757,136.757,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,72.00,72.00,0.00706,-0.2,0.00096,44.995,0.00
,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,5129.92,5129.92,4.27,116.523,116.523,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,72.00,72.00,0.00771,-0.2,0.00096,44.995,0.00
,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,2962.41,2962.41,2.47,67.290,67.290,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,72.00,72.00,0.00788,-0.2,0.00096,44.995,0.00
,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,5132.41,5132.41,4.28,116.580,116.580,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,72.00,72.00,0.00771,-0.2,0.00096,44.995,0.00
,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,5131.80,5131.80,4.27,116.566,116.566,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,72.00,72.00,0.00771,-0.2,0.00096,44.995,0.00
,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,2961.80,2961.80,2.47,67.277,67.277,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,72.00,72.00,0.00788,-0.2,0.00096,44.995,0.00
,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,5129.32,5129.32,4.27,116.509,116.509,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,72.00,72.00,0.00771,-0.2,0.00096,44.995,0.00
,LIVING_UNIT3_BACKROW_TOPFLOOR,7442.62,7442.62,6.20,169.045,169.045,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,72.00,72.00,0.00721,-0.2,0.00096,44.995,0.00
,LIVING_UNIT3_FRONTROW_TOPFLOOR,7446.02,7446.02,6.20,169.122,169.122,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,72.00,72.00,0.00721,-0.2,0.00096,44.995,0.00
,LIVING_UNIT1_FRONTROW_TOPFLOOR,7444.20,7444.20,6.20,169.081,169.081,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,72.00,72.00,0.00721,-0.2,0.00096,44.995,0.00
,LIVING_UNIT2_BACKROW_TOPFLOOR,5250.92,5250.92,4.37,119.266,119.266,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,72.00,72.00,0.00709,-0.2,0.00096,44.995,0.00
,LIVING_UNIT2_FRONTROW_TOPFLOOR,5252.49,5252.49,4.38,119.302,119.302,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,72.00,72.00,0.00710,-0.2,0.00096,44.995,0.00
,LIVING_UNIT1_BACKROW_TOPFLOOR,7444.42,7444.42,6.20,169.086,169.086,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,72.00,72.00,0.00721,-0.2,0.00096,44.995,0.00
The Design Load is the zone sensible load only. It does not include any system effects or ventilation loads.


System Design Air Flow Rates

,,Calculated cooling [ft3/min],User cooling [ft3/min],Calculated heating [ft3/min],User heating [ft3/min],Adjusted cooling [ft3/min],Adjusted heating [ft3/min],Adjusted main [ft3/min],Calculated Heating Air Flow Ratio [],User Heating Air Flow Ratio []
,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,404.17,404.17,136.76,136.76,404.1725,404.1725,404.1725,1.0000,1.0000
,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,157.50,157.50,91.91,91.91,157.4999,157.4999,157.4999,1.0000,1.0000
,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,293.93,293.93,136.82,136.82,293.9269,293.9269,293.9269,1.0000,1.0000
,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,392.31,392.31,136.81,136.81,392.3135,392.3135,392.3135,1.0000,1.0000
,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,159.28,159.28,91.90,91.90,159.2804,159.2804,159.2804,1.0000,1.0000
,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,284.89,284.89,136.76,136.76,284.8929,284.8929,284.8929,1.0000,1.0000
,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,486.81,486.81,116.52,116.52,486.8057,486.8057,486.8057,1.0000,1.0000
,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,212.27,212.27,67.29,67.29,212.2746,212.2746,212.2746,1.0000,1.0000
,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,363.80,363.80,116.58,116.58,363.7979,363.7979,363.7979,1.0000,1.0000
,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,472.34,472.34,116.57,116.57,472.3425,472.3425,472.3425,1.0000,1.0000
,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,209.67,209.67,67.28,67.28,209.6670,209.6670,209.6670,1.0000,1.0000
,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,349.03,349.03,116.51,116.51,349.0309,349.0309,349.0309,1.0000,1.0000
,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,513.33,513.33,169.08,169.08,513.3296,513.3296,513.3296,1.0000,1.0000
,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,243.55,243.55,119.30,119.30,243.5502,243.5502,243.5502,1.0000,1.0000
,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,368.53,368.53,169.12,169.12,368.5349,368.5349,368.5349,1.0000,1.0000
,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,511.42,511.42,169.09,169.09,511.4158,511.4158,511.4158,1.0000,1.0000
,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,250.47,250.47,119.27,119.27,250.4690,250.4690,250.4690,1.0000,1.0000
,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,354.37,354.37,169.04,169.04,354.3746,354.3746,354.3746,1.0000,1.0000


Plant Loop Coincident Design Fluid Flow Rate Adjustments

,,Previous Design Volume Flow Rate [ft3/min],Algorithm Volume Flow Rate [ft3/min],Coincident Design Volume Flow Rate [ft3/min],Coincident Size Adjusted,Peak Sizing Period Name,Peak Day into Period {TIMESTAMP}[day],Peak Hour Of Day {TIMESTAMP}[hr],Peak Step Start Minute {TIMESTAMP}[min]
,None,,,,,,,,


Coil Sizing Summary

,,Coil Type,HVAC Type,HVAC Name,Coil Final Gross Total Capacity [Btu/h],Coil Final Gross Sensible Capacity [Btu/h],Coil Final Reference Air Volume Flow Rate [ft3/min],Coil Final Reference Plant Fluid Volume Flow Rate [ft3/min],Coil U-value Times Area Value [Btu/h-F],Design Day Name at Sensible Ideal Loads Peak,Date/Time at Sensible Ideal Loads Peak,Design Day Name at Air Flow Ideal Loads Peak,Date/Time at Air Flow Ideal Loads Peak,Coil Total Capacity at Ideal Loads Peak [Btu/h],Coil Sensible Capacity at Ideal Loads Peak [Btu/h],Coil Air Volume Flow Rate at Ideal Loads Peak [ft3/min],Coil Entering Air Drybulb at Ideal Loads Peak [F],Coil Entering Air Wetbulb at Ideal Loads Peak [F],Coil Entering Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Coil Leaving Air Drybulb at Ideal Loads Peak [F],Coil Leaving Air Wetbulb at Ideal Loads Peak [F],Coil Leaving Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Outdoor Air Drybulb at Ideal Loads Peak [F],Outdoor Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Outdoor Air Wetbulb at Ideal Loads Peak [F],Outdoor Air Flow Percentage at Ideal Loads Peak [%],Zone Air Drybulb at Ideal Loads Peak [F],Zone Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Zone Air Relative Humidity at Ideal Loads Peak [%],Zone Sensible Heat Gain at Ideal Loads Peak [Btu/h],Zone Latent Heat Gain at Ideal Loads Peak [Btu/h],Coil Total Capacity at Rating Conditions [Btu/h],Coil Sensible Capacity at Rating Conditions [Btu/h]
,DX COOLING COIL_UNIT1_FRONTROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,10774.794,8626.896,404.172491,-999.,-999.00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 17:20:00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 17:30:00,9720.54,9720.54,404.172491,77.90,57.49,0.00793241,53.60,48.63,0.00793241,87.96,0.00547095,57.22,11.1326,75.00,0.00821639,35.7017,7613.29,0.00,10772.95,7735.36
,MAIN DX HEATING COIL_UNIT1_FRONTROW_BOTTOMFLOOR,Coil:Heating:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,10774.794,10774.794,404.172491,-999.,-999.00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,10774.79,10774.79,404.172491,63.96,50.02,0.00637718,122.00,70.25,0.00800000,-0.2,0.00095524,-0.3,11.1326,72.00,0.00705640,33.9814,6021.32,0.00,10788.95,10788.95
,SUPP HEATING COIL_UNIT1_FRONTROW_BOTTOMFLOOR,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,8752.941,8752.941,-999.,-999.,-999.00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,8752.94,8752.94,404.172491,63.96,50.02,0.00637718,122.00,70.25,0.00800000,-0.2,0.00095524,-0.3,11.1326,72.00,0.00705640,33.9814,6021.32,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT2_FRONTROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,4198.773,3361.770,157.499859,-999.,-999.00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 14:10:00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 19:00:00,3881.64,3881.64,157.499859,78.64,57.46,0.00774848,53.60,48.31,0.00774848,82.63,0.00546644,55.40,28.5683,75.00,0.00826696,35.9185,2853.71,0.00,4198.05,3014.35
,MAIN DX HEATING COIL_UNIT2_FRONTROW_BOTTOMFLOOR,Coil:Heating:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,4198.773,4198.773,157.499859,-999.,-999.00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,4198.77,4198.77,157.499859,51.37,42.58,0.00519463,122.00,70.25,0.00800000,-0.2,0.00095524,-0.3,28.5683,72.00,0.00689012,33.1886,4046.53,0.00,4204.29,4204.29
,SUPP HEATING COIL_UNIT2_FRONTROW_BOTTOMFLOOR,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,6806.940,6806.940,-999.,-999.,-999.00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,6806.94,6806.94,157.499859,51.37,42.58,0.00519463,122.00,70.25,0.00800000,-0.2,0.00095524,-0.3,28.5683,72.00,0.00689012,33.1886,4046.53,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT3_FRONTROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,7835.767,6273.748,293.926855,-999.,-999.00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 10:20:00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 10:10:00,7190.01,7190.01,293.926855,77.77,57.20,0.00777034,53.60,48.35,0.00777034,83.56,0.00546722,55.72,15.3082,75.00,0.00818105,35.5500,5525.42,0.00,7834.42,5625.40
,MAIN DX HEATING COIL_UNIT3_FRONTROW_BOTTOMFLOOR,Coil:Heating:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,7835.767,7835.767,293.926855,-999.,-999.00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,7835.77,7835.77,293.926855,60.94,48.39,0.00612268,122.00,70.25,0.00800000,-0.2,0.00095524,-0.3,15.3082,72.00,0.00705671,33.9829,6023.74,0.00,7846.06,7846.06
,SUPP HEATING COIL_UNIT3_FRONTROW_BOTTOMFLOOR,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,8755.326,8755.326,-999.,-999.,-999.00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,8755.33,8755.33,293.926855,60.94,48.39,0.00612268,122.00,70.25,0.00800000,-0.2,0.00095524,-0.3,15.3082,72.00,0.00705671,33.9829,6023.74,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT1_BACKROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,10458.647,8373.771,392.313512,-999.,-999.00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 17:30:00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 17:40:00,9459.22,9459.22,392.313512,77.90,57.50,0.00794587,53.60,48.66,0.00794587,87.51,0.00547057,57.07,11.4691,75.00,0.00824392,35.8198,7380.38,0.00,10456.85,7508.40
,MAIN DX HEATING COIL_UNIT1_BACKROW_BOTTOMFLOOR,Coil:Heating:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,10458.647,10458.647,392.313512,-999.,-999.00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,10458.65,10458.65,392.313512,63.71,49.89,0.00635690,122.00,70.25,0.00800000,-0.2,0.00095524,-0.3,11.4691,72.00,0.00705668,33.9827,6023.53,0.00,10472.39,10472.39
,SUPP HEATING COIL_UNIT1_BACKROW_BOTTOMFLOOR,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,8755.117,8755.117,-999.,-999.,-999.00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,8755.12,8755.12,392.313512,63.71,49.89,0.00635690,122.00,70.25,0.00800000,-0.2,0.00095524,-0.3,11.4691,72.00,0.00705668,33.9827,6023.53,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT2_BACKROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,4246.240,3399.774,159.280366,-999.,-999.00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 18:50:00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 19:00:00,3926.19,3926.19,159.280366,78.62,57.48,0.00776270,53.60,48.33,0.00776270,82.63,0.00546644,55.40,28.2489,75.00,0.00864749,37.5496,2985.19,0.00,4245.51,3048.43
,MAIN DX HEATING COIL_UNIT2_BACKROW_BOTTOMFLOOR,Coil:Heating:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,4246.240,4246.240,159.280366,-999.,-999.00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,4246.24,4246.24,159.280366,51.60,42.72,0.00521354,122.00,70.25,0.00800000,-0.2,0.00095524,-0.3,28.2489,72.00,0.00689007,33.1884,4046.27,0.00,4251.82,4251.82
,SUPP HEATING COIL_UNIT2_BACKROW_BOTTOMFLOOR,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,6806.689,6806.689,-999.,-999.,-999.00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,6806.69,6806.69,159.280366,51.60,42.72,0.00521354,122.00,70.25,0.00800000,-0.2,0.00095524,-0.3,28.2489,72.00,0.00689007,33.1884,4046.27,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT3_BACKROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,7594.931,6080.921,284.892878,-999.,-999.00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 09:40:00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 09:30:00,7042.36,7042.36,284.892878,77.35,57.09,0.00778926,53.60,48.38,0.00778926,80.63,0.00546476,54.70,15.7936,75.00,0.00821317,35.6878,5352.52,0.00,7593.63,5452.50
